Divisão;Operação;Mês base
K44X;Debênture Bradesco;01/04/2024
K45W;Debênture Bradesco;01/04/2024
K47X;Debênture Bradesco;01/04/2024
K672;Debênture Bradesco;01/04/2024
K73X;Debênture Bradesco;01/04/2024
KB82;Debênture Bradesco;01/04/2024
KE42;Debênture Bradesco;01/04/2024
KF86;Debênture Bradesco;01/04/2024
KG92;Debênture Bradesco;01/04/2024
KK22;Debênture Bradesco;01/04/2024
KL26;Debênture Bradesco;01/04/2024
KN06;Debênture Bradesco;01/04/2024
KP92;Debênture Bradesco;01/04/2024
KT16;Debênture Bradesco;01/04/2024
L242;Debênture Bradesco;01/04/2024
L36X;Debênture Bradesco;01/04/2024
L42X;Debênture Bradesco;01/04/2024
L902;Debênture Bradesco;01/04/2024
L91X;Debênture Bradesco;01/04/2024
L992;Debênture Bradesco;01/04/2024
M012;Debênture Bradesco;01/04/2024
M032;Debênture Bradesco;01/04/2024
M052;Debênture Bradesco;01/04/2024
M092;Debênture Bradesco;01/04/2024
M252;Debênture Bradesco;01/04/2024
M422;Debênture Bradesco;01/04/2024
M512;Debênture Bradesco;01/04/2024
M562;Debênture Bradesco;01/04/2024
M612;Debênture Bradesco;01/04/2024
M622;Debênture Bradesco;01/04/2024
M692;Debênture Bradesco;01/04/2024
M782;Debênture Bradesco;01/04/2024
M952;Debênture Bradesco;01/04/2024
KP72;Debênture Bradesco;01/04/2024
KT32;Debênture Bradesco;01/04/2024
KP66;Debênture Bradesco;01/04/2024
KF22;Debênture Bradesco;01/04/2024
KJ62;Debênture Bradesco;01/04/2024
KZ22;Debênture Bradesco;01/04/2024
KQ12;Debênture Bradesco;01/04/2024
LA36;Debênture Bradesco;01/04/2024
KJ82;Debênture Bradesco;01/04/2024
KT82;Debênture Bradesco;01/04/2024
LA62;Debênture Bradesco;01/04/2024
KJ32;Debênture Bradesco;01/04/2024
LD16;Debênture Bradesco;01/04/2024
LA92;Debênture Bradesco;01/04/2024
LB22;Debênture Bradesco;01/04/2024
LB62;Debênture Bradesco - Em Inclusão;01/04/2024
LE56;Debênture Bradesco;01/04/2024
KZ52;Debênture Bradesco;01/04/2024
LA8W;Debênture Bradesco - Em Inclusão;01/04/2024
LA8X;Debênture Bradesco - Em Inclusão;01/04/2024
LA8Y;Debênture Bradesco - Em Inclusão;01/04/2024
LF96;Debênture Bradesco - Em Inclusão;01/04/2024
LE62;Debênture Bradesco - Em Inclusão;01/04/2024
;;
;;
