Divisao;% Vendido;Mês base
K04W;100;01/04/2024
K04X;100;01/04/2024
K97X;100;01/04/2024
M322;100;01/04/2024
M632;99,318;01/04/2024
K11X;100;01/04/2024
L73X;99,035;01/04/2024
K15W;100;01/04/2024
K15X;100;01/04/2024
K51X;100;01/04/2024
K16W;100;01/04/2024
K16X;100;01/04/2024
K18X;99,125;01/04/2024
K18Y;100;01/04/2024
K19X;97,963;01/04/2024
KX02;86,535;01/04/2024
M372;72,256;01/04/2024
K22X;100;01/04/2024
K232;100;01/04/2024
K29W;100;01/04/2024
K29X;100;01/04/2024
K30X;100;01/04/2024
K32X;100;01/04/2024
L40X;99,599;01/04/2024
M522;99,519;01/04/2024
K350;100;01/04/2024
K370;100;01/04/2024
L47X;99,729;01/04/2024
K46X;100;01/04/2024
K862;100;01/04/2024
K872;100;01/04/2024
KD26;100;01/04/2024
KD82;89,295;01/04/2024
KE42;99,741;01/04/2024
KF22;83,65;01/04/2024
KF86;99,806;01/04/2024
KK22;88,398;01/04/2024
KL26;68,916;01/04/2024
KN06;99,836;01/04/2024
KP66;98,5;01/04/2024
KP72;100;01/04/2024
KP92;100;01/04/2024
KT16;99,707;01/04/2024
KT32;100;01/04/2024
L110;100;01/04/2024
L130;100;01/04/2024
L220;100;01/04/2024
L242;99,291;01/04/2024
M692;98,696;01/04/2024
KH02;31,615;01/04/2024
M082;98,282;01/04/2024
M092;100;01/04/2024
M152;99,704;01/04/2024
M822;100;01/04/2024
M192;99,619;01/04/2024
M330;93,674;01/04/2024
M422;97,636;01/04/2024
KG92;100;01/04/2024
M752;100;01/04/2024
M762;56,837;01/04/2024
M782;100;01/04/2024
M916;99,679;01/04/2024
M952;21,251;01/04/2024
M992;86,328;01/04/2024
KJ22;100;01/04/2024
KJ62;100;01/04/2024
M772;100;01/04/2024
KZ22;100;01/04/2024
LA36;100;01/04/2024
KJ82;100;01/04/2024
KQ12;96,489;01/04/2024
KJ32;68,062;01/04/2024
KT82;96,281;01/04/2024
KE82;80,238;01/04/2024
LA62;35,231;01/04/2024
LA92;79,78;01/04/2024
LB22;20,107;01/04/2024
LD16;73,866;01/04/2024
LB62;78,423;01/04/2024
I030;56,272;01/04/2024
LE56;77,111;01/04/2024
KZ52;24,988;01/04/2024
LA8W;23,263;01/04/2024
LA8X;67,974;01/04/2024
LA8Y;3,041;01/04/2024
LE22;18,918;01/04/2024
LF96;21,006;01/04/2024
LE62;56,277;01/04/2024
K26X;100;01/04/2024
K95X;100;01/04/2024
K47X;100;01/04/2024
K44X;100;01/04/2024
K45X;100;01/04/2024
K45W;100;01/04/2024
K02X;100;01/04/2024
K02W;100;01/04/2024
K02L;100;01/04/2024
K28X;100;01/04/2024
K98X;100;01/04/2024
K05X;100;01/04/2024
K05W;100;01/04/2024
K01X;100;01/04/2024
K01W;100;01/04/2024
K20X;100;01/04/2024
K20W;100;01/04/2024
K20Y;100;01/04/2024
K33X;100;01/04/2024
K33W;89;01/04/2024
K03X;100;01/04/2024
K03W;100;01/04/2024
K76X;100;01/04/2024
K12X;100;01/04/2024
K12W;100;01/04/2024
K12Y;100;01/04/2024
L01X;100;01/04/2024
L01Y;100;01/04/2024
L33X;100;01/04/2024
K07X;100;01/04/2024
K07W;0;01/04/2024
K96W;100;01/04/2024
K59X;100;01/04/2024
K64W;100;01/04/2024
L186;100;01/04/2024
K130;100;01/04/2024
K31X;96;01/04/2024
K89X;100;01/04/2024
L25X;94;01/04/2024
K60X;99;01/04/2024
L05X;100;01/04/2024
L32X;100;01/04/2024
L84X;100;01/04/2024
L74X;100;01/04/2024
L72L;100;01/04/2024
L42X;100;01/04/2024
K73X;96;01/04/2024
L36X;99;01/04/2024
L58X;100;01/04/2024
K342;100;01/04/2024
L91X;100;01/04/2024
M012;100;01/04/2024
L902;99;01/04/2024
K382;86;01/04/2024
k272;99;01/04/2024
M052;100;01/04/2024
L302;100;01/04/2024
L592;100;01/04/2024
K672;100;01/04/2024
M162;100;01/04/2024
M412;99;01/04/2024
L412;100;01/04/2024
L992;100;01/04/2024
M622;100;01/04/2024
M032;99;01/04/2024
M612;100;01/04/2024
M712;93;01/04/2024
M462;100;01/04/2024
M172;99;01/04/2024
M722;100;01/04/2024
M512;100;01/04/2024
M482;93;01/04/2024
KB82;100;01/04/2024
M562;98;01/04/2024
KA02;100;01/04/2024
M252;100;01/04/2024
K242;98;01/04/2024
M982;100;01/04/2024
KF02;100;01/04/2024
M410;100;01/04/2024
